epoch,train_loss,train_ce,train_acc,val_loss,val_acc,best_acc,cost_loss,primitive_entropy,transition_entropy,read_entropy,write_l1,exec_speedup
1,1.4586403487523396,1.4580956557591755,0.25983333333333336,4.560954826354981,0.186,0.186,0.4136184767882029,2.31419681485494,1.738067746480306,1.8399462025960287,0.2621460434595744,1.0
2,1.3903207629521688,1.3901949106852214,0.26466666666666666,5.23510710144043,0.186,0.186,0.11361189786593119,1.0892386560440064,1.567483094851176,1.8174938265482585,0.02448081716708839,1.0
3,1.3882528397242229,1.3882020476659138,0.2500833333333333,5.917947532653809,0.0,0.186,0.05012888134519259,0.05898249148329099,1.5010606597264609,1.7699242458343505,0.0013370108576491475,2.2
4,1.3890771916707356,1.3889923845926921,0.25216666666666665,5.595572662353516,0.0,0.186,0.050006989886363346,0.0019975837462892134,0.16943935482452313,0.20015214701897155,0.0001775607348730167,1.927007299270073
5,1.3884547402064005,1.38835204855601,0.25716666666666665,5.827250755310058,0.176,0.186,0.050000721196333565,3.724652824166696e-05,0.00048163054459534276,0.00019805714562729312,8.409792589494221e-06,1.8
6,1.3868382428487143,1.3866953109105429,0.25758333333333333,6.118634414672852,0.186,0.186,0.050000092615683875,5.344916795972192e-06,2.5516233742867673e-05,1.2582976361348605e-05,1.7519561918864686e-06,1.8
7,1.386996769587199,1.3868134256998699,0.2530833333333333,6.137256820678711,0.176,0.186,0.050000017046928406,2.794296452824104e-06,8.42529325260936e-06,3.448230287176557e-06,6.672343547506898e-07,1.8
8,1.3869691683451335,1.3867454125086467,0.2544166666666667,6.51467692565918,0.0,0.186,0.050000017623106636,2.506289149096119e-06,5.196362212397313e-06,2.594914406169361e-06,3.859666398208598e-07,1.8
9,1.3864769868850708,1.3862270050048828,0.25675,6.546758544921875,0.176,0.186,0.050000003000100456,2.0119030256561626e-06,3.4343436418566854e-06,1.825612804168486e-06,2.633346602654759e-07,1.7757847533632287
10,1.386835989634196,1.386586007754008,0.26266666666666666,6.4846092834472655,0.186,0.186,0.05000000645716985,2.1460386381780455e-06,4.176846664904587e-06,2.029917822255811e-06,3.637553175129445e-07,1.6229508196721312
