epoch,train_loss,train_ce,train_acc,val_loss,val_acc,best_acc,family_entropy,write_gate_mean,update_norm_mean,family_temp
1,2.30961163520813,2.30961163520813,0.096,2.305511526107788,0.1,0.1,1.8813732608159384,0.1924125940799713,0.9058009678522746,1.4
2,2.3047243900299073,2.3047243900299073,0.10383333333333333,2.30404660987854,0.1,0.1,1.8027158734003703,0.06827346150080363,0.9751201939582824,1.3444444444444443
3,2.3041616655985515,2.3041616655985515,0.09766666666666667,2.3030208892822266,0.1,0.1,1.6960780207316082,0.03127133737007777,0.9684265492757161,1.2888888888888888
4,2.304277418136597,2.304277418136597,0.09733333333333333,2.3041078491210936,0.1,0.1,1.5793408260345458,0.022008738751212755,0.9389919541676839,1.2333333333333334
5,2.303618892669678,2.303618892669678,0.09925,2.3032665481567385,0.1,0.1,1.421767546971639,0.025274475877483688,0.8657524944941203,1.1777777777777778
6,2.3038842226664227,2.3038842226664227,0.098,2.303668590545654,0.1,0.1,1.3334257980982462,0.027212331821521125,0.8509403047561646,1.1222222222222222
7,2.3042308025360105,2.3042308025360105,0.09808333333333333,2.303407247543335,0.1,0.1,1.2226502024332682,0.02772212020556132,0.818938409169515,1.0666666666666667
8,2.3044180494944255,2.3044180494944255,0.09583333333333334,2.303095426559448,0.1,0.1,1.2153817154566446,0.028782904932896296,0.8617571555773417,1.011111111111111
9,2.30419229888916,2.30419229888916,0.09758333333333333,2.303098529815674,0.1,0.1,1.092594071706136,0.03973108809192975,0.8083977840741475,0.9555555555555556
10,2.3038555215199787,2.3038555215199787,0.09966666666666667,2.303223608016968,0.1,0.1,1.0474744901657105,0.0436786122918129,0.8066231989860535,0.9
