epoch,train_loss,train_ce,train_acc,val_loss,val_acc,best_acc,cost_loss,primitive_entropy,transition_entropy,read_entropy,write_l1,nontrivial_mass,safe_mass,write_activity_loss,nontrivial_activity_loss,primitive_entropy_floor_loss,read_entropy_floor_loss,transition_entropy_floor_loss,lambda_cost_eff,lambda_write_l1_eff,lambda_write_activity_eff,lambda_nontrivial_activity_eff,lambda_primitive_entropy_floor_eff,lambda_read_entropy_floor_eff,lambda_transition_entropy_floor_eff,reg_w,anti_w,write_floor,exec_speedup
1,1.462293194770813,1.462293194770813,0.2595,4.366341278076172,0.186,0.186,0.38038889805475873,2.344497287750244,1.5388618586858114,1.8517508039474486,0.3003473419944445,0.6683799772262573,0.33161978363990785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07999999821186066,0.07999999821186066,0.019999999552965164,0.009999999776482582,0.004999999888241291,0.0,1.0,0.02,1.0
2,1.3921379521687824,1.3921379521687824,0.2529166666666667,5.0097232360839845,0.176,0.186,0.2784131875435511,2.248087417602539,1.2829417622884114,1.7817184235254924,0.08531135400136312,0.5669968220392863,0.4330035688082377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07999999821186066,0.07999999821186066,0.019999999552965164,0.009999999776482582,0.004999999888241291,0.0,1.0,0.017142857142857144,1.0
3,1.3910760533014934,1.3910758803685506,0.25708333333333333,5.5630142059326175,0.186,0.186,0.1717274577617645,1.8540374024709065,0.7779881234169006,1.793629475593567,0.027454049348831177,0.3747234169642131,0.6252770598729451,2.1679349839208345e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.07999999821186066,0.07999999821186066,0.019999999552965164,0.009999999776482582,0.004999999888241291,0.0,1.0,0.014285714285714287,1.0
4,1.388950145403544,1.3889497855504354,0.2595,5.928344955444336,0.0,0.186,0.0974170114994049,1.4101480573018392,0.5372923989295959,1.5387452630996703,0.020698788339893023,0.19065847977002462,0.8093416035970052,4.27648944623608e-06,1.6578662568160023e-07,0.0,0.0,7.886327027032773e-07,0.0,0.0,0.07999999821186066,0.07999999821186066,0.019999999552965164,0.009999999776482582,0.004999999888241291,0.0,1.0,0.011428571428571429,1.0
5,1.3887095886866252,1.3887073596318562,0.2534166666666667,5.670063911437988,0.186,0.186,0.08317634312311808,0.9336953097979228,0.491792609055837,0.7548639219601949,0.2223061680396398,0.15217750827471416,0.8478229899406433,0.0,2.1639256901456367e-05,0.0,1.4871870650191947e-06,9.659920950070955e-05,0.0,0.0,0.07999999821186066,0.07999999821186066,0.019999999552965164,0.009999999776482582,0.004999999888241291,0.0,1.0,0.008571428571428572,1.0
6,1.3868964827855428,1.3868959487279255,0.2575,6.258572685241699,0.0,0.186,0.07728722709417343,0.5447244464556377,0.35182623386383055,0.4793597490787506,0.3898653738498688,0.14021298309167227,0.85978915198644,0.0,6.651511865129578e-06,0.0,3.877222297887784e-09,9.962408900416145e-07,0.0,0.0,0.07999999821186066,0.07999999821186066,0.019999999552965164,0.009999999776482582,0.004999999888241291,0.0,1.0,0.005714285714285713,1.0
